nom_complet_taxon_referentiel;nom_valide
Micropyrum tenellum (L.) Link, 1843;Micropyrum tenellum (L.) Link, 1844
Micropyrum tenellum (L.) Link var. tenellum;Micropyrum tenellum f. tenellum 
Milium vernale subsp. montianum (Parl.) K.Richt., 1890;Milium montianum Parl., 1850
Mimulus guttatus Fisch. ex DC., 1813;Erythranthe guttata (Fisch. ex DC.) G.L.Nesom, 2012
Mimulus moschatus Douglas ex Lindl., 1828;Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom, 2012
Mimulus x robertsii Silverside;Mimulus x robertsii Silverside, 1990
Minuartia L., 1753;Minuartia Loefl. ex L., 1753
Minuartia mutabilis (Lapeyr.) Schinz & Thell. ex Bech., 1938;Minuartia rostrata (Pers.) Rchb., 1842
Minuartia mutabilis subsp. lesurina (Braun-Blanq.) Favarger & F.Conti, 2000;Minuartia lanuginosa (H.J.Coste) Braun-Blanq., 1931
Minuartia setacea (Thuill.) Hayek subsp. setacea;Minuartia setacea (Thuill.) Hayek, 1911
Misopates Rafin., 1840;Misopates Raf., 1840
Moneses Gray, 1821;Moneses Salisb. ex Gray, 1821
Monotropa hypopitys L. subsp. hypopitys;Monotropa hypopitys subsp. hypopitys 
Montia fontana L. subsp. fontana;Montia fontana L., 1753
Montia fontana subsp. amporitana Sennen, 1911;Montia hallii (A.Gray) Greene, 1891
Montia fontana subsp. chondrosperma (Fenzl) Walters, 1953;Montia arvensis Wallr., 1840
Montia fontana subsp. variabilis Walters, 1953;Montia hallii (A.Gray) Greene, 1891
Myosotis;Myosotis L., 1753
Myosotis arvensis Hill subsp. umbrata (Rouy) O.Schwarz;Myosotis arvensis Hill var. umbrosa Bab.
Myosotis discolor Pers. subsp. discolor;Myosotis discolor Pers., 1797
Myosotis lamottiana (Braun-Blanq.) Grau, 1970;Myosotis martini Sennen, 1926
Myosotis nemorosa Besser subsp. nemorosa;Myosotis nemorosa Besser, 1821
Myriophyllum heterophyllum Michx;Myriophyllum heterophyllum Michx., 1803
Myrtus communis L. subsp. communis;Myrtus communis L., 1753
Myrtus communis subsp. tarentina (L.) Nyman, 1878;Myrtus communis var. tarentina L., 1753
Najas graminea Delile;Najas graminea Delile, 1813
Narcissus italicus Ker Gawl., 1809;Narcissus tazetta subsp. italicus (Ker Gawl.) Baker, 1888
Narcissus papyraceus Ker Gawl.;Narcissus papyraceus Ker Gawl., 1806
Narcissus x intermedius Loisel., 1806;Narcissus x compressus Haw., 1800
Nassella Desv., 1854;Nassella (Trin.) Desv., 1854
Nassella tenuissima (Trin.) Barkworth;Nassella tenuissima (Trin.) Barkworth, 1990
Nasturtium microphyllum (Boenn.) Rchb., 1832;Nasturtium microphyllum Boenn. ex Rchb., 1832
Nasturtium officinale R.Br., 1812;Nasturtium officinale W.T.Aiton, 1812
Nasturtium officinale R.Br. subsp. officinale;Nasturtium officinale W.T.Aiton, 1812
Nasturtium W.T. Aiton;Nasturtium W.T.Aiton, 1812
Neotinea ustulata (L.) Bateman, Pridgeon & Chase subsp. ustulata;Neotinea ustulata var. ustulata 
Neotinea ustulata subsp. aestivalis (Kümpel) R.M.Bateman, Pridgeon & M.W.Chase, 1997;Neotinea ustulata var. aestivalis (Kümpel) Tali, M.F.Fay & R.M.Bateman, 2006
Neotinea x dietrichiana subsp. bugarachensis (Claess. & Lewin) H.Kretzschmar, Eccarius & H.Dietr., 2007;Neotinea x bugarachensis (Claess. & Lewin) B.Bock, 2012
Nepeta x faasseni Bergmans ex Stearn;Nepeta x faasseni Bergmans ex Stearn, 1950
Nerium oleander L. subsp. oleander;Nerium oleander L., 1753
Neslia apiculata Fisch., C.A.Mey. & Avé-Lall., 1842;Neslia paniculata subsp. thracica (Velen.) Bornm., 1894
Neslia paniculata (L.) Desv.;Neslia paniculata (L.) Desv., 1815
Nicandra Adanson, 1763;Nicandra Adans., 1763
Nicandra physaloides (L.) Gaertn., 1791;Nicandra physalodes (L.) Gaertn., 1791
Nigella gallica Jord., 1852;Nigella hispanica var. parviflora Coss.
Nigella papillosa G.López, 1985;Nigella hispanica L., 1753
Noccaea praecox (Wulfen) F.K.Mey. subsp. praecox;Noccaea praecox (Wulfen) F.K.Mey., 1973
Odontites glutinosus (M.Bieb.) Benth., 1846;Macrosyringion glutinosum (M.Bieb.) Rothm., 1943
Odontites jaubertianus (Boreau) D.Dietr. ex Walp. subsp. jaubertianus;Odontites jaubertianus var. jaubertianus 
Odontites jaubertianus subsp. chrysanthus (Boreau) P.Fourn., 1937;Odontites jaubertianus var. chrysanthus (Boreau) Bolliger
Odontites longiflorus (Vahl) Webb, 1838;Macrosyringion longiflorum (Vohl) Rothm., 1943
Odontites vernus (Bellardi) Dumort., 1829;Odontites vernus (Bellardi) Dumort., 1827
Oenanthe globulosa L. subsp. globulosa;Oenanthe globulosa L., 1753
Oenothera biennis var. pycnocarpa (G.F.Atk. & Bartlett) Wiegand, 1924;Oenothera pycnocarpa G.F.Atk. & Bartlett, 1913
Oenothera x drawertii Renner ex Rostanski, 1966;Oenothera drawertii Renner ex Rostanski, 1966
Oenothera x oehlkersii Kappus ex Rostanski, 1985;Oenothera oehlkersii Kappus, 1966
Ononis hispanica subsp. ramosissima (Desf.) Förther & Podlech, 1991;Ononis ramosissima Desf., 1799
Ononis spinosa subsp. antiquorum (L.) Arcang., 1882;Ononis spinosa var. antiquorum (L.) Arcang., 1882
Ononis spinosa subsp. maritima (Dumort. ex Piré) P.Fourn., 1937;Ononis spinosa subsp. procurrens (Wallr.) Briq., 1913
Ononis spinosa var. procurrens (Wallr.) Burnat, 1896;Ononis spinosa var. procurrens 
Onopordum illyricum subsp. horridum (Viv.) Franco, 1975;Onopordum horridum Viv., 1824
Onosma fastigiata (Braun-Blanq.) Braun-Blanq. ex Lacaita, 1924;Onosma tricerosperma subsp. fastigiata (Braun-Blanq.) G.López, 1994
Onosma fastigiata (Braun-Blanq.) Braun-Blanq. ex Lacaita subsp. fastigiata;Onosma tricerosperma subsp. fastigiata (Braun-Blanq.) G.López, 1994
Onosma fastigiata subsp. atlantica Braun-Blanq. ex Kerguélen, 1985;Onosma tricerosperma subsp. atlantica (Braun-Blanq. ex Kerguélen) B.Bock & J.M.Tison, 2012
Ophrys apifera Huds. subsp. apifera;Ophrys apifera Huds., 1762
Ophrys apifera var. botteroni (Chodat) Asch. & Graebn.;Ophrys apifera var. botteronii (Chodat) Brand, 1905
Ophrys apifera var. fulvofusca Grasso & Scrugli;Ophrys apifera var. fulvofusca Grasso & Scrugli, 1987
Ophrys apifera var. manginii (G.Tallon) B.Bock;Ophrys apifera var. bicolor (O.Nägeli) E.Nelson, 1962
Ophrys bertolonii subsp. catalaunica (O.Danesch & E.Danesch) R.Soca, 2001;Ophrys catalaunica O.Danesch & E.Danesch, 1972
Ophrys bertolonii subsp. saratoi (E.G.Camus) R.Soca, 2001;Ophrys saratoi E.G.Camus, 1893
Ophrys corsica Soleirol ex G.Foelsche & W.Foelsche, 2002;Ophrys lutea subsp. corsica (Soleirol ex G.Foelsche & W.Foelsche) Kreutz, 2007
Ophrys exaltata subsp. arachnitiformis (Gren. & Philippe) Del Prete, 1984;Ophrys arachnitiformis Gren. & Philippe, 1859
Ophrys exaltata subsp. marzuola Geniez, Melki & R.Soca, 2002;Ophrys occidentalis (Scappat.) Scappat. & M.Demange, 2005
Ophrys exaltata subsp. splendida (Gölz & Reinhard) R.Soca, 2002;Ophrys arachnitiformis Gren. & Philippe, 1859
Ophrys fuciflora subsp. montiliensis Aubenas & Scappaticci, 2012;Ophrys fuciflora subsp. montiliensis Aubenas & Scappat., 2012
Ophrys fusca subsp. minima Balayer, 1986;Ophrys funerea Viv., 1824
Ophrys litigiosa E.G.Camus, 1896;Ophrys virescens Philippe, 1859
Ophrys massiliensis Viglione & Véla, 1999;Ophrys aranifera subsp. massiliensis (Viglione & Véla) Véla, 2007
Ophrys morisii (Martelli) Soó;Ophrys morisii (Martelli) Soó, 1931
Ophrys panormitana (Tod.) Soó, 1973;Ophrys aranifera subsp. praecox (Corrias) Véla, 2008
Ophrys philippii Gren., 1859;Ophrys philippei Gren., 1859
Ophrys picta Link, 1800;Ophrys scolopax subsp. apiformis (Desf.) Maire & Weiller, 1959
Ophrys scolopax subsp. conradiae (Melki & Deschâtres) H.Baumann & al., 1995;Ophrys conradiae Melki & Deschâtres, 1993
Ophrys truncata Dulac, 1867;Ophrys aegirtica P.Delforge, 1996
Orchidaceae A.L. Jussieu, 1789;Orchidaceae Juss., 1789
Orchis ichnusae (Corrias) Devillers-Tersch. & Devillers, 1991;Orchis mascula subsp. ichnusae Corrias, 1982
Orchis provincialis Balb. ex DC. subsp. provincialis;Orchis provincialis Balb. ex DC., 1806
Orchis spitzelii Saut. ex W.D.J.Koch, 1838;Orchis spitzelii Saut. ex W.D.J.Koch, 1837
Orchis x penzigiana A.Camus, 1928;x Orchidactyla penzigiana (A.Camus) B.Bock, 2012
Oreochloa elegans (Sennen) A.W.Hill, 1933;Oreochloa disticha subsp. blanka (Deyl) Küpfer, 1974
Ornithogalum angustifolium Boreau, 1847;Ornithogalum umbellatum L., 1753
Orobanche amethystea Thuill. subsp. amethystea;Orobanche amethystea Thuill., 1799
Orobanche major L., 1753;Orobanche elatior Sutton, 1798
Orobanche minor Sm. subsp. minor;Orobanche minor Sm., 1797
Orobanche rapum-genistae subsp. rigens (Loisel.) P.Fourn., 1937;Orobanche rigens Loisel., 1807
Orobanche rapum-genistae Thuill. subsp. rapum-genistae;Orobanche rapum-genistae Thuill., 1799
Orobanche reticulata subsp. pallidiflora (Wimm. & Grab.) Hayek, 1914;Orobanche reticulata var. pallidiflora (Wimm. & Grab.) B.Bock, 1890
Orobanche reticulata subsp. reticulata ;Orobanche reticulata var. reticulata 
Orobanche rubens Wallr., 1822;Orobanche lutea Baumg., 1816
Oxytropis halleri Bunge ex W.D.J.Koch subsp. halleri;Oxytropis halleri Bunge ex W.D.J.Koch, 1844
Oxytropis halleri subsp. velutina (Schur) O.Schwarz, 1949;Oxytropis xerophila Gutermann, 2006
Oxytropis jacquini Bunge, 1847;Oxytropis jacquinii Bunge, 1847
Paeonia mascula subsp. coriacea (Boiss.) Malag., 1975;Paeonia corsica Sieber ex Tausch, 1828
Panicum capillare L. var. capillare;Panicum capillare L., 1753
Panicum capillare var. occidentale Rydb., 1895;Panicum barbipulvinatum Nash, 1900
Panicum L.;Panicum L., 1753
Papaver aurantiacum Loisel., 1809;Papaver alpinum var. aurantiacum (Loisel.) B.Bock, 2012
Papaver lapeyrousianum Gutermann ex Greuter & Burdet, 1981;Papaver alpinum subsp. suaveolens (Lapeyr. ex P.Fourn.) O.Bolòs & Vigo, 1974
Papaver occidentale (Markgr.) H.E.Hess & al., 1972;Papaver alpinum var. occidentale Markgr., 1958
Papaver rhoeas L. subsp. rhoeas;Papaver rhoeas L., 1753
Papaver rhoeas var. rhoeas ;Papaver rhoeas f. rhoeas 
Papaver rhoeas var. strigosum Boenn., 1824;Papaver rhoeas f. strigosum (Boenn.) Rothm.
Paulownia tomentosa (Thunb.) Steud.;Paulownia tomentosa (Thunb.) Steud., 1841
Pelargonium peltatum (L.) Aiton;Pelargonium peltatum (L.) Aiton, 1789
Pennisetum clandestinum C.F. Hochstetter ex E. Chiovenda;Cenchrus clandestinus (Hochst. ex Chiov.) Morrone, 2010
Pennisetum villosum R.Br. ex Fresen., 1837;Cenchrus longisetus M.C.Johnst., 1963
Persicaria alpina (All.) H.Gross, 1913;Aconogonum alpinum (All.) Schur
Persicaria amplexicaulis (D.Don) Ronse Decr., 1988;Bistorta amplexicaulis (D.Don) Greene, 1904
Persicaria bistorta (L.) Samp., 1913;Bistorta officinalis Delarbre, 1800
Persicaria Mill., 1754;Persicaria (L.) Mill., 1754
Persicaria polystachya (C.F.W.Meissn.) H.Gross, 1913;Rubrivena polystachya (C.F.W.Meissn.) M.Král, 1985
Persicaria salicifolia (Willd.) Assenov, 1966;Persicaria decipiens (R.Br.) K.L.Wilson, 1988
Persicaria vivipara (L.) Ronse Decr., 1988;Bistorta vivipara (L.) Delarbre, 1800
Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb. subsp. hybridus;Petasites hybridus (L.) P.Gaertn., B.Mey. & Scherb., 1801
Petrorhagia dubia (Raf.) G.López & Romo, 1988;Petrorhagia velutina (Guss.) P.W.Ball & Heywood, 1964
Petrorhagia Link, 1829;Petrorhagia (Ser. ex DC.) Link, 1829
Petroselinum crispum (Mill.) Nyman ex A.W.Hill, 1925;Petroselinum crispum (Mill.) Fuss, 1866
Petunia x punctata Paxton, 1842;Petunia x hybrida (Hook.f.) Vilm., 1863
Peucedanum officinale subsp. stenocarpum (Boiss. & Reut.) Font Quer, 1950;Peucedanum stenocarpum Boiss. & Reut., 1845
Phagnalon x hybridum A.Albert, 1901;Phagnalon x ambiguum Albert
Phagnalon x telonense Jord. & Fourr., 1868;Phagnalon x ambiguum Albert
Phelipanche purpurea subsp. bohemica ( elak.) Zazvorka, 2008;Phelipanche purpurea subsp. bohemica (Celak.) Zazvorka, 2008
Phelipanche ramosa subsp. ramosa ;Phelipanche ramosa (L.) Pomel, 1874
Phleum alpinum L. subsp. alpinum;Phleum alpinum L., 1753
Phleum alpinum subsp. rhaeticum Humphries, 1978;Phleum rhaeticum (Humphries) Rauschert, 1979
Phleum exaratum Griseb.;Phleum exaratum Griseb., 1846
Phleum pratense L. subsp. pratense;Phleum pratense L., 1753
Phleum pratense subsp. serotinum (Jord.) Berher, 1887;Phleum nodosum L., 1759
Phlomis viscosa Poir.;Phlomis russeliana Lag. ex Benth., 1834
Phlox drummondii W.J. Hooker;Phlox drummondii Hook., 1835
Phragmites Adanson, 1763;Phragmites Adans., 1763
Phyla filiformis (Schrad.) Meikle, 1985;Phyla nodiflora var. minor (Gillies & Hook.) N.O'Leary & Múlgura, 2012
Phyllostachys mitis Rivière & C.Rivière, 1878;Phyllostachys heterocycla Matsum., 1895
Physocarpus Rafin., 1838;Physocarpus (Camb.) Rafin., 1838
Phyteuma rupicola Braun-Blanq., 1945;Phyteuma globulariifolium subsp. rupicola (Braun-Blanq.) O.Bolòs & Vigo, 1983
Phytolacca esculenta Houtt.;Phytolacca esculenta Houtt., 1848
Picris hieracioides subsp. villarsii (Jord.) Nyman, 1879;Picris hieracioides subsp. umbellata (Schrank) Ces.
Pinguicula longifolia subsp. reichenbachiana (Schindl.) Casper, 1962;Pinguicula reichenbachiana Schindl., 1908
Pinus halepensis subsp. brutia (Ten.) E.Murray, 1983;Pinus brutia Ten., 1830
Pinus monticola Dougl. ex D. Don;Pinus monticola Douglas ex D.Don, 1832
Pinus rigida Mill.;Pinus rigida Mill., 1768
Pinus wallichiana A.B.Jacks.;Pinus wallichiana A.B.Jacks., 1947
Pinus x uliginosa Link;Pinus mugo subsp. rotundata (Link) E.Murray, 1985
Piptatherum miliaceum (L.) Coss., 1851;Oloptum miliaceum (L.) Röser & Hamasha, 2012
Piptatherum miliaceum var. miliaceum ;Oloptum miliaceum f. miliaceum 
Pittosporum undulatum Vent.;Pittosporum undulatum Vent., 1802
Plantaginaceae A.L. Jussieu, 1789;Plantaginaceae Juss., 1789
Plantago lanceolata L. subsp. lanceolata;Plantago lanceolata L., 1753
Plantago major subsp. intermedia (Gilib.) Lange, 1856;Plantago major subsp. pleiosperma Pilg., 1937
Plantago scabra Moench, 1794;Plantago arenaria Waldst. & Kit., 1802
Plantago scabra Moench subsp. scabra;Plantago arenaria Waldst. & Kit., 1802
Platanthera chlorantha (Custer) Rchb. subsp. chlorantha;Platanthera chlorantha (Custer) Rchb., 1828
Platycapnos Bernh., 1833;Platycapnos (DC.) Bernh., 1833
Poa badensis Haenke ex Willd. subsp. badensis;Poa badensis Haenke ex Willd., 1797
Poa badensis subsp. molinerii (Balb.) Duck.-Henr. & Favarger, 1987;Poa molinerii Balb., 1801
Poa badensis var. molinerii ;Poa molinerii f. moinerii 
Poa bulbosa subsp. vivipara (Koeler) Arcang., 1882;Poa bulbosa var. vivipara Koeler, 1802
Poaceae J.H. Barnhart, 1895;Poaceae Barnhart, 1895
Poa pratensis L. subsp. pratensis;Poa pratensis subsp. pratensis 
Poa pratensis subsp. anceps (Gaudin) Dumort., 1824;Poa anceps (Gaudin) Hegetschw. & Heer, 1839
Poa pratensis subsp. latifolia (Weihe) Schübler & G.Martens, 1834;Poa pratensis subsp. irrigata (Lindm.) H.Lindb., 1916
Polycarpon L., 1759;Polycarpon Loefl. ex L., 1759
Polygala comosa Schkuhr subsp. comosa;Polygala comosa Schkuhr, 1796
Polygala pedemontana Perrier & B.Verl., 1863;Polygala nicaeensis subsp. pedemontana (Perrier & B.Verl.) B.Bock, 2012
Polygala vulgaris subsp. calliptera (Legrand) P.Fourn., 1928;Polygala vulgaris var. calliptera Legrand, 1881
Polygala vulgaris subsp. collina (Rchb.) Borbás, 1892;Polygala vulgaris var. dunensis (Dumort.) Buchenau, 1881
Polygonaceae A.L. Jussieu, 1789;Polygonaceae Juss., 1789
Polygonum capitatum Buch.-Ham. ex D.Don;Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross, 1913
Polypodium cambricum L. subsp. cambricum;Polypodium cambricum L., 1753
Polypogon maritimus subsp. subspathaceus (Req.) K.Richt., 1890;Polypogon subspathaceus Req., 1825
Polypogon maritimus Willd. subsp. maritimus;Polypogon maritimus Willd., 1801
Poncirus trifoliata (L.) Raf.;Poncirus trifoliata (L.) Raf., 1838
Portulaca oleracea L. subsp. oleracea;Portulaca oleracea L., 1753
Portulaca oleracea subsp. granulatostellulata (Poelln.) Danin & H.G.Baker, 1979;Portulaca granulatostellulata (Poelln.) Ricceri & Arrigoni, 2000
Portulaca oleracea subsp. nitida Danin & H.G.Baker, 1979;Portulaca nitida (Danin & H.G.Baker) Ricceri & Arrigoni, 2000
Portulaca oleracea subsp. papillatostellulata Danin & H.G.Baker, 1979;Portulaca papillatostellulata (Danin & H.G.Baker) Danin, 2006
Portulaca oleracea subsp. stellata Danin & H.G.Baker, 1979;Portulaca oleracea L., 1753
Portulaca oleracea var. sativa (Haw.) DC., 1828;Portulaca sativa Haw., 1803
Potamogeton coloratus subsp. subflavus (Loret & Barrandon) Nyman, 1890;Potamogeton coloratus Hornem., 1813
Potamogeton filiformis Pers., 1805;Stuckenia filiformis (Pers.) Börner, 1912
Potamogeton pectinatus L., 1753;Stuckenia pectinata (L.) Börner, 1912
Potentilla;Potentilla L., 1753
Potentilla anserina L., 1753;Argentina anserina (L.) Rydb., 1899
Potentilla anserina L. subsp. anserina;Argentina anserina subsp. anserina 
Potentilla collina Wibel, 1799;Potentilla inaperta Jord., 1849
Potentilla crantzii (Crantz) Beck ex Fritsch subsp. crantzii;Potentilla crantzii (Crantz) Beck ex Fritsch, 1897
Potentilla fruticosa L., 1753;Dasiphora fruticosa (L.) Rydb., 1898
Potentilla heptaphylla subsp. fagineicola (Lamotte) P.Fourn., 1936;Potentilla fagineicola Lamotte, 1877
Potentilla neumanniana Rchb., 1832;Potentilla tabernaemontani Asch., 1891
Potentilla palustris (L.) Scop., 1771;Comarum palustre L., 1753
Potentilla prostrata subsp. floccosa Soják, 1989;Potentilla nivea L., 1753
Potentilla pusilla Host, 1831;Potentilla puberula Krasan, 1867
Potentilla rupestris L., 1753;Drymocallis rupestris (L.) Soják, 1989
Potentilla rupestris L. subsp. rupestris;Drymocallis rupestris subsp. rupestris 
Potentilla rupestris subsp. corsica (Lehm.) Rouy & E.G.Camus, 1900;Drymocallis rupestris subsp. corsica (Lehm.) Soják, 1989
Primula auricula L. subsp. auricula;Primula auricula L., 1753
Primula veris subsp. columnae (Ten.) Maire & Petitm., 1908;Primula veris var. columnae (Ten.) B.Bock, 2012
Primula veris subsp. suaveolens (Bertol.) Gutermann & Ehrend., 1974;Primula veris var. columnae (Ten.) B.Bock, 2012
Pritzelago alpina (L.) Kuntze, 1891;Hornungia alpina (L.) O.Appel, 1997
Pritzelago alpina (L.) Kuntze subsp. alpina;Hornungia alpina subsp. alpina 
Pritzelago alpina subsp. brevicaulis (Spreng.) Greuter & Burdet, 1985;Hornungia alpina subsp. brevicaulis (Spreng.) O.Appel, 1997
Prunus cerasus L. subsp. cerasus;Prunus cerasus L., 1753
Prunus padus L. subsp. padus;Prunus padus var. padus 
Prunus padus subsp. borealis Nyman, 1878;Prunus padus var. petraea (Tausch) Belozor
Pseudorchis;Pseudorchis Ség., 1754
Pseudosasa Nakai, 1925;Pseudosasa Makino ex Nakai, 1925
Pseudotsuga menziesii (Mirb.) Franco var. glauca (Beissn.) Franco;Pseudotsuga menziesii var. glauca (Beissn.) Franco, 1950
Pteris L.;Pteris L., 1753
Puccinellia distans (L.) Parl., 1850;Puccinellia distans (Jacq.) Parl., 1848
Puccinellia festuciformis subsp. convoluta (Hornem.) W.E.Hughes, 1978;Puccinellia festuciformis subsp. lagascana M.A.Juliá & J.M.Monts.
Puccinellia rupestris (With.) Fernald & Weath., 1916;Pseudosclerochloa rupestris (With.) Tzvelev, 2004
Pulsatilla alpina (L.) Delarbre, 1800;Anemone alpina L., 1753
Pulsatilla alpina (L.) Delarbre subsp. alpina;Anemone alpina subsp. alpina 
Pulsatilla alpina subsp. alba Zamelis, 1926;Anemone scherfelii Ullep., 1887
Pulsatilla alpina subsp. apiifolia (Scop.) Nyman, 1878;Anemone alpina subsp. apiifolia (Scop.) O.Bolòs & Vigo, 1974
Pulsatilla alpina subsp. cyrnea Gamisans, 1977;Anemone scherfelii subsp. cyrnea (Gamisans) B.Bock & J.M.Tison, 2012
Pulsatilla halleri (All.) Willd., 1809;Anemone halleri All., 1773
Pulsatilla Hill, 1753;Anemone L., 1753
Pulsatilla montana (Hoppe) Rchb., 1832;Anemone montana Hoppe, 1826
Pulsatilla rubra Delarbre subsp. rubra;Anemone rubra var. rubra 
Pulsatilla rubra (Lam.) Delarbre, 1800;Anemone rubra Lam., 1783
Pulsatilla rubra var. serotina (H.J.Coste) Aichele & Schwegler, 1957;Anemone rubra var. serotina (H.J.Coste) B.Bock, 2012
Pulsatilla vernalis (L.) Mill., 1768;Anemone vernalis L., 1753
Pulsatilla vulgaris Mill., 1768;Anemone pulsatilla L., 1753
Pulsatilla vulgaris Mill. subsp. vulgaris;Anemone pulsatilla subsp. pulsatilla 
Pyrethrum tchihatchewii Hort. ex Clemenc., 1869;Tripleurospermum caucasicum (Willd.) Hayek, 1924
Pyrus pyraster (L.) Du Roi, 1772;Pyrus communis subsp. pyraster (L.) Ehrh., 1780
Pyrus pyraster (L.) Du Roi subsp. pyraster;Pyrus communis subsp. pyraster (L.) Ehrh., 1780
Pyrus pyraster subsp. achras (Wallr.) Stöhr, 1977;Pyrus communis subsp. pyraster (L.) Ehrh., 1780
Quercus robur L. subsp. robur;Quercus robur var. robur 
Ranunculus baudotii Godr., 1840;Ranunculus peltatus subsp. baudotii (Godr.) Meikle ex C.D.K.Cook, 1984
Ranunculus bulbosus subsp. aleae (Willk.) Rouy & Foucaud, 1893;Ranunculus bulbosus var. aleae (Willk.) Burnat, 1892
Ranunculus chius DC., 1817;Ranunculus parviflorus subsp. chius (DC.) Arcang., 1882
Ranunculus elisae Gamisans, 1992;Ranunculus boreoapenninus Pignatti, 1976
Ranunculus ficaria L., 1753;Ficaria verna Huds., 1762
Ranunculus ficaria L. subsp. ficaria;Ficaria verna subsp. fertilis (A.R.Clapham ex Laegaard) Stace, 2009
Ranunculus ficaria subsp. bulbilifer Lambinon, 1981;Ficaria verna subsp. verna 
Ranunculus ficaria subsp. ficariiformis Rouy & Foucaud, 1893;Ficaria verna subsp. grandiflora (Robert) Hayek, 1924
Ranunculus flammula L. subsp. flammula;Ranunculus flammula var. flammula 
Ranunculus monspeliacus L. subsp. monspeliacus;Ranunculus monspeliacus var. monspeliacus 
Ranunculus monspeliacus subsp. saxatilis Nyman, 1878;Ranunculus monspeliacus var. saxatilis (Nyman) Burnat, 1892
Ranunculus radians Revel, 1845;Ranunculus aquatilis L., 1753
Ranunculus reptans L., 1753;Ranunculus flammula var. reptans (L.) Rouy & Foucaud, 1893
Ranunculus revelieri subsp. rodiei (Litard.) Tutin, 1964;Ranunculus revelieri var. rodiei Litard., 1936
Ranunculus sardous Crantz subsp. sardous;Ranunculus sardous f. sardous 
Reseda jacquini Rchb. subsp. jacquini;Reseda jacquini var. jacquini 
Reseda jacquini subsp. litigiosa (Sennen & Pau) Abdallah & de Wit, 1978;Reseda jacquini var. litigiosa (Sennen & Pau) O.Bolòs & Vigo
Reseda phyteuma L. subsp. phyteuma;Reseda phyteuma var. phyteuma 
Retama monosperma (L.) Boiss., 1840;Genista monosperma (L.) Lam., 1788
Reynoutria japonica Houtt. var. japonica;Reynoutria japonica Houtt., 1777
Reynoutria japonica var. compacta (Hook.f.) Möldenke, 1941;Reynoutria compacta (Hook.f.) Nakai
Rhamnus saxatilis Jacq. subsp. saxatilis;Rhamnus saxatilis subsp. saxatilis 
Rhaponticum scariosum subsp. lamarckii (Dittrich) Greuter, 2003;Rhaponticum scariosum subsp. scariosum 
Rheum x rhabarbarum L., 1753;Rheum x hybridum Murray, 1775
Rhinanthus angustifolius C.C.Gmel. subsp. angustifolius;Rhinanthus angustifolius C.C.Gmel., 1806
Rhinanthus angustifolius subsp. grandiflorus (Wallr.) D.A.Webb, 1972;Rhinanthus angustifolius C.C.Gmel., 1806
Roegneria canina (L.) Nevski, 1934;Elymus caninus (L.) L., 1755
Roegneria canina (L.) Nevski subsp. canina;Elymus caninus (L.) L., 1755
Roemeria;Roemeria Medik., 1792
Romulea rosea (L.) Eckl.;Romulea rosea (L.) Eckl., 1827
Rorippa aspera (L.) Maire, 1927;Sisymbrella aspera (L.) Spach, 1838
Rorippa aspera subsp. aspera ;Sisymbrella aspera (L.) Spach subsp. aspera
Rorippa aspera subsp. praeterita (Heywood) O.Bolòs & Vigo, 1974;Sisymbrella aspera subsp. praeterita Heywood, 1964
Rosa canina L. subsp. canina;Rosa canina L., 1753
Rosa canina var. lutetiana (Léman ex Cass.) Baker, 1869;Rosa canina L., 1753
Rosa majalis Herrm., 1762;Rosa cinnamomea L., 1753
Rosa marginata Wallr.;Rosa marginata Wallr., 1815
Rosa pimpinellifolia L., 1759;Rosa spinosissima L., 1753
Rosa pimpinellifolia var. myriacantha (DC.) Ser., 1808;Rosa spinosissima subsp. myriacantha (DC.) C.Vicioso
Rosa pimpinellifolia var. pimpinellifolia ;Rosa spinosissima subsp. spinosissima 
Rosa serafinii Viv., 1824;Rosa seraphinii Viv., 1824
Rosa villosa L. subsp. villosa;Rosa villosa L., 1753
Rosa villosa subsp. alpicola (Rouy) Rouy & E.G.Camus, 1900;Rosa alpicola Rouy, 1875
Rosa x chavinii Rapin ex Reut., 1861;Rosa chavinii Rapin ex Reut., 1861
Rosa x dumalis Bechst., 1810;Rosa dumalis Bechst., 1810
Rostraria litorea (All.) Holub, 1974;Rostraria pubescens (Lam.) Trin., 1820
Rostraria phleoides (Desf.) Holub, 1974;Rostraria hispida (Savi) Dogan, 1983
Rubus apiculatus Weihe, 1825;Rubus micans Gren., 1849
Rubus colemannii A.Bloxam;Rubus colemannii A.Bloxam, 1850
Rubus drymophilus P.J.Mull. & Lefebvre, 1859;Rubus drymophilus P.J.Mull. & Lefèvre, 1859
Rubus genevieri Boreau, 1857;Rubus bracteatus Boreau, 1848
Rubus gillotii (Boulay) Boulay ex H.J.Coste, 1901;Rubus nemophilus Ripart ex Genev., 1869
Rubus gracilis C.Presl, 1822;Rubus gracilis J.Presl & C.Presl, 1822
Rumex conglomeratus Murray, 1770;Rumex crispus L., 1753
Rumex crispus L. subsp. crispus;Rumex crispus var. crispus 
Rumex crispus subsp. littoreus (Hardy) Akeroyd, 1989;Rumex crispus var. littoreus Hardy, 1849
